,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
ETHOSUXIMIDE,5.251,5.251,0.216,0.216,4.096,3.708,-0.05,0,141.2,1,3,46.17,0.1,1
ETHOTOIN,3.254,3.254,1.151,1.151,3.923,3.673,-0.5662,0,204.2,1,4,49.41,0.125,2
ETHOXZOLAMIDE,3.326,3.326,2.01,2.01,3.988,5.04,-0.7903,0,258.3,1,5,82.28,0.1765,3
ETHYLESTRE0L,1.625,1.625,5.454,5.454,4.788,5.519,0.652,0,288.5,1,1,20.23,0.04167,1
ETHY0DIOL DIACETATE,0.8183,0.8183,4.636,4.636,4.905,5.086,0.2818,0,384.5,0,4,52.6,0.1613,5
ETIDOCAINE,3.443,1.53,3.69,2.255,4.403,4.935,0.4054,0,276.4,1,3,32.34,0.4,8
ETIDRONATE,6.52,4.843,-0.3493,-3.414,3.962,2.59,-1.149,0,206,5,7,135.3,0.2,2
ETODOLAC,2.487,1.65,3.718,0.663,4.953,3.949,-1.453,0,287.4,2,4,62.32,0.1739,4
ETOMIDATE,2.613,2.613,2.428,2.428,4.52,4.944,0.629,0,244.3,0,4,44.12,0.2632,5
ETO0GESTREL,1.603,1.603,3.16,3.16,4.842,4.999,0.00174,1,324.5,1,2,37.3,0.07407,2
ETOPOSIDE,2.011,2.011,0.6001,0.6001,5.804,4.249,-1.097,1,588.6,3,13,160.8,0.1042,5
ETOPOSIDE PHOSPHATE,2.25,3.562,0.1769,1.697,5.922,3.999,-1.08,1,668.5,4,16,207.4,0.1346,7
ETRETINATE,1.011,1.011,5.869,5.869,5.169,5.411,0.08659,0,354.5,0,3,35.53,0.3077,8
EVANS BLUE,1.984,5.231,3.13,1.857,6.374,4.796,-1.26,1,872.9,8,20,359.4,0.1429,9
EXEMESTANE,1.856,1.856,2.879,2.879,5.069,4.54,-0.2727,1,296.4,0,2,34.14,0,0
EZETIMIBE,0.1227,0.1227,4.045,4.045,5.752,6.277,-0.7161,1,409.4,2,4,60.77,0.1818,6
FAMCICLOVIR,2.955,3.126,0.7044,0.2906,4.444,4.667,-0.9837,1,321.3,1,9,122.2,0.375,9
FAMOTIDINE,3.392,3.885,0.06082,-0.7839,4.26,2.829,-1.187,1,337.4,5,9,173.3,0.4,8
FELBAMATE,3.924,3.924,1.372,1.372,3.787,3.705,-0.3272,0,238.2,2,6,104.6,0.4118,7
FELODIPINE,0.9241,0.9241,4.966,4.966,5.398,4.453,-0.108,1,384.3,1,5,64.63,0.2308,6
FE0FIBRATE,-0.06276,-0.06276,4.681,4.681,5.432,5.186,0.8095,0,360.8,0,4,52.6,0.2692,7
FE0LDOPAM,3.365,2.522,2.39,0.6599,5.141,5.241,-0.1113,0,305.8,4,4,72.72,0.04348,1
FE0PROFEN,1.793,3.003,3.096,0.3364,4.818,3.953,-0.7964,0,242.3,1,3,46.53,0.2105,4
FENTANYL,2.77,1.387,3.89,1.66,4.778,6.314,0.5197,0,336.5,0,3,23.55,0.2593,7
FEXOFENADINE,1.776,1.206,4.074,1.471,5.372,5.189,-1.172,1,501.7,3,5,81,0.25,10
FINASTERIDE,1.907,1.907,3.03,3.03,4.768,4.308,-0.2298,0,372.5,2,4,58.2,0.1,3
FLAVOXATE,1.602,2.532,4.687,3.446,5.091,6.178,0.07323,1,391.5,0,5,59.75,0.1875,6
FLECAINIDE,1.946,2.562,3.162,2.167,5.134,5.275,0.2872,1,414.3,2,5,59.59,0.3448,10
FLOXURIDINE,5.058,5.058,-1.261,-1.261,4.136,4.032,-1.279,0,246.2,3,7,104.5,0.1111,2
FLUCONAZOLE,2.641,2.641,1.114,1.114,4.952,5.333,-0.5946,0,306.3,1,7,81.65,0.2083,5
FLUCYTOSINE,5.07,3.075,-1.063,-0.4852,3.981,3.812,-0.7406,0,129.1,2,4,71.77,0,0
FLUDARABINE PHOSPHATE,3.675,3.506,-1.879,-1.795,4.851,4.038,-1.523,0,365.2,5,12,186.1,0.1538,4
"FLUDEOXYGLUCOSE, F-18",6.527,6.527,-1.66,-1.66,3.892,3.472,-1.068,0,182.1,4,5,90.15,0.08333,1
FLUDROCORTISONE ACETATE,1.427,1.427,2.191,2.191,4.698,4.499,-0.8809,0,420.5,1,6,97.74,0.1212,4
FLUMAZENIL,2.489,2.489,1.302,1.302,5.008,4.893,-0.1208,0,303.3,0,6,64.43,0.125,3
FLUMETHASONE PIVALATE,0.5528,0.5528,3.86,3.86,5.07,4.68,-0.7835,1,494.6,2,6,100.9,0.1316,5
FLUNISOLIDE,1.565,1.565,2.702,2.702,4.888,4.333,-0.8403,1,434.5,2,6,93.06,0.05714,2
FLUOCI0LONE ACETONIDE,1.331,1.331,2.47,2.47,4.86,4.432,-0.8459,1,452.5,2,6,93.06,0.05556,2
FLUOCI0NIDE,0.7725,0.7725,3.19,3.19,5.096,4.402,-0.7716,1,494.5,1,7,99.13,0.1026,4
FLUORESCEIN,0.5139,0.5139,3.162,3.162,5.916,4.839,-0.3766,0,332.3,2,5,75.99,0,0
FLUOROMETHOLONE,1.9,1.9,2,2,4.725,4.503,-0.7854,0,376.5,2,4,74.6,0.03333,1
FLUOROMETHOLONE ACETATE,1.275,1.275,2.715,2.715,4.872,4.43,-0.7088,0,418.5,1,5,80.67,0.09091,3
FLUOROURACIL,4.93,4.93,-0.9999,-0.9999,4.056,3.625,-0.6128,0,130.1,2,4,65.72,0,0
FLUOXETINE,2.177,1.326,4.26,1.95,5.077,5.588,1.028,0,309.3,1,2,21.26,0.3043,7
FLUOXYMESTERONE,2.054,2.054,2.38,2.38,4.602,4.807,-0.6562,0,336.4,2,3,57.53,0,0
FLUPHENAZINE,2.056,2.27,4.36,2.934,5.133,6.984,0.8371,1,437.5,1,4,29.95,0.2121,7
FLUPHENAZINE DECA0ATE,0.8755,1.963,7.258,3.999,5.064,7.976,0.7964,1,591.8,0,5,36.02,0.3864,17
FLUPHENAZINE ENANTHATE,1.041,2.084,6.45,3.889,5.061,7.611,0.8185,1,549.7,0,5,36.02,0.3415,14
FLUPREDNISOLONE,2.291,2.291,1.823,1.823,4.572,4.39,-0.9754,1,378.4,3,5,94.83,0.06667,2
FLURANDRE0LIDE,1.491,1.491,3.116,3.116,4.784,4.52,-0.9131,1,436.5,2,6,93.06,0.05714,2
FLURAZEPAM,2.133,1.133,3.54,1.97,5.282,5.705,0.01495,1,387.9,0,4,35.91,0.2069,6
FLURBIPROFEN,1.52,2.302,4.16,0.91,5.179,4.151,-1.68,0,244.3,1,2,37.3,0.1579,3
FLUTAMIDE,2.148,2.148,3.35,3.35,4.403,4.525,0.2049,0,276.2,1,5,74.92,0.2632,5
FLUTICASONE PROPIONATE,0.0991,0.0991,4.203,4.203,5.093,4.53,-0.5783,1,500.6,1,5,80.67,0.1622,6
FLUVASTATIN,0.7978,2.641,4.132,0.8775,5.39,5.122,-1.277,1,411.5,3,5,82.69,0.25,8
FLUVOXAMINE,2.804,2.48,2.711,0.9612,4.695,4.962,-0.0362,0,318.3,1,4,56.84,0.4545,10
FOLIC ACID,0.56,4.028,-0.01097,-2.349,5.075,2.44,-1.844,1,441.4,6,13,213.3,0.2941,10
FOMEPIZOLE,5.38,5.38,0.2399,0.2399,3.982,3.581,-0.2302,0,82.1,1,2,28.68,0,0
FONDAPARINUX,2.998,8.612,-3.397,0.8125,5.217,1.205,-1.667,1,1508,19,52,805.5,0.3158,30
FORMOTEROL,2.802,2.537,2.078,0.1184,4.953,4.955,-0.7217,0,344.4,4,6,90.82,0.3462,9
FOSAMPRENAVIR,1.515,3.549,2.703,0.8651,5.408,5.088,-0.9399,1,585.6,4,12,177.7,0.3659,15
FOSCARNET,6.634,4.821,-1.535,-4.131,3.774,2.667,-1.289,0,126,3,5,94.83,0.1667,1
FOSFOMYCIN,6.495,4.267,-0.949,-2.164,3.868,3.568,-0.6483,0,138.1,2,4,70.06,0.125,1
FOSI0PRIL,1.243,1.56,5.649,1.746,4.746,4.868,-1.357,1,563.7,1,8,110.2,0.3902,16
FOSPHENYTOIN,2.483,2.609,1.763,-0.6505,4.99,3.606,-0.9546,0,362.3,3,8,116.2,0.1852,5
FROVATRIPTAN,3.499,1.59,1.405,-0.3342,4.622,4.093,-0.4337,1,243.3,3,4,70.91,0.1,2
FULVESTRANT,-0.5138,-0.5138,7.191,7.191,5.174,7.408,-0.3112,1,606.8,2,3,57.53,0.3409,15
FURAZOLIDONE,2.25,2.25,-0.04999,-0.04999,4.058,4.122,-0.6378,0,225.2,0,8,100.9,0.1765,3
FUROSEMIDE,2.34,4.945,2.03,-1.54,4.601,3.856,-1.132,0,330.7,3,7,122.6,0.2273,5
GABAPENTIN,5.094,3.902,-1.304,-2,4.086,3.134,-1.211,0,171.2,2,3,63.32,0.25,3
GADOBENATE DIMEGLUMINE,4.099,5.057,-0.6111,-4.269,4.642,0.804,-1.589,1,513.5,5,14,205.4,0.5556,20
GADODIAMIDE,4.893,4.968,-2.177,-3.823,4.15,0.8901,-1.778,1,419.4,5,13,179.8,0.6429,18
GADOPENTETATE,4.88,5.325,-1.576,-5.235,4.174,0.3508,-1.543,1,393.3,5,13,196.2,0.6154,16
GADOTERIDOL,5.812,4.446,0.7899,-4.13,4.455,2.326,-1.814,1,404.5,4,11,145.1,0.2857,8
GADOVERSETAMIDE,4.822,4.754,-2.152,-3.019,4.842,1.103,-1.83,1,507.5,5,15,198.3,0.7059,24
GALANTAMINE,4.76,1.856,1.071,0.9689,4.554,5.228,0.32,1,287.4,1,4,41.93,0.04167,1
GALLAMINE,4.07,3.314,3.947,1.207,4.55,6.653,0.2647,1,423.6,0,6,37.41,0.6,18
GANCICLOVIR,4.23,3.305,-2.07,-1.832,3.962,4.153,-1.294,1,255.2,4,9,139.3,0.2632,5
GANIRELIX ACETATE,1.797,3.415,1.659,4.862,4.975,1.517,-1.29,1,1570,16,31,451.5,0.4957,58
GATIFLOXACIN,2.415,3.247,-0.7421,-0.586,4.996,4.295,-1.231,1,375.4,2,7,83.8,0.1333,4
GEFITINIB,1.261,2.171,4.071,3.471,5.534,7.012,0.2681,1,446.9,1,7,68.74,0.2353,8
GEMCITABINE,4.112,2.502,-1.451,-0.6057,4.184,3.911,-1.067,0,263.2,3,7,110.6,0.1053,2
GEMFIBROZIL,2.105,2.894,3.662,1.021,4.587,4.053,-0.5686,0,250.3,1,3,46.53,0.3333,6
GEMIFLOXACIN,1.727,2.433,-1.121,-0.7506,4.953,3.832,-1.655,1,389.4,2,9,123,0.1613,5
GENTAMICIN,4.405,5.613,-1.056,-1.824,5.03,2.586,-1.272,1,477.6,8,12,199.7,0.2,7
GENTIAN VIOLET,4.538,3.24,4.506,2.08,5.632,6.003,-0.03487,0,357.5,0,3,18.84,0.1379,4
GLIMEPIRIDE,1.024,2.163,3.533,1.75,4.659,4.761,-0.8875,1,490.6,3,9,124.7,0.3056,11
GLIPIZIDE,1.013,2.918,1.91,1.099,3.866,4.889,-1.003,1,445.5,3,9,130.1,0.303,10
GLUCO0LACTONE,6.52,6.52,-1.717,-1.717,3.835,3.005,-1.224,0,178.1,4,6,107.2,0.08333,1
GLUTAMINE,5.45,4.358,-3.377,-3.41,3.723,1.897,-0.9973,0,146.1,3,5,106.4,0.4444,4
GLUTATHIONE DISULFIDE,4.152,5.368,-5.081,-2.612,4.637,-1.602,-1.749,1,612.6,10,18,317.6,0.641,25
GLUTETHIMIDE,3.66,3.66,1.9,1.9,4.261,4.156,0.1641,0,217.3,1,3,46.17,0.1176,2
GLYBURIDE,0.9101,2.363,3.54,2.287,5.192,5.066,-0.9291,1,494,3,8,113.6,0.3143,11
GLYCERIN,7.04,7.04,-1.612,-1.612,3.944,3.687,-0.5131,0,92.09,3,3,60.69,0.4,2
GLYCINE,6.52,3.935,-3.104,-3.098,3.919,2.369,-1.03,0,75.07,2,3,63.32,0.25,1
GLYCOPYRROLATE,4.914,2.031,2.802,0.2255,4.552,5.317,0.2749,0,318.4,1,4,46.53,0.2,5
GOSERELIN,2.791,4.202,-0.4343,3.634,4.864,0.7014,-1.36,1,1269,18,32,493.4,0.4583,44
GRANISETRON,3.605,2.931,2.692,0.6907,4.395,5.748,0.09734,1,312.4,1,5,50.16,0.1154,3
GREPAFLOXACIN,2.261,3.182,-0.389,-0.4495,5.109,4.377,-1.171,1,359.4,2,6,74.57,0.1034,3
GRISEOFULVIN,1.39,1.39,2.18,2.18,4.991,4.551,0.08434,0,352.8,0,6,71.06,0.1154,3
GUAIFENESIN,5.4,5.4,0.6174,0.6174,3.984,4.251,-0.114,0,198.2,2,4,58.92,0.3571,5
GUANABENZ,3.365,2.963,1.925,1.67,3.978,3.389,-0.74,0,231.1,3,4,74.26,0.2143,3
GUANADREL,4.6,3.318,0.6611,-1.006,3.808,3.622,-0.6124,0,213.3,3,5,80.36,0.1875,3
GUANETHIDINE,5.284,3.292,1.413,-0.9308,3.627,4.157,-0.6557,0,198.3,3,4,65.14,0.2857,4
GUANFACINE,3.433,3.044,2.015,0.5955,3.989,2.841,-0.6831,0,246.1,3,4,78.97,0.2667,4
GUANIDINE,4.49,3.518,-1.121,-2.37,3.807,2.683,-0.4836,0,59.07,3,3,75.89,0,0
HALAZEPAM,1.328,1.328,3.426,3.426,5.359,5.009,0.1708,0,352.7,0,3,32.67,0.1154,3
HALCI0NIDE,1.016,1.016,3.283,3.283,4.853,4.798,-0.6364,0,455,1,5,72.83,0.05714,2
HALOBETASOL PROPIONATE,0.5837,0.5837,3.661,3.661,5.018,4.635,-0.615,1,485,1,5,80.67,0.1389,5
HALOFANTRINE,-0.1823,0.422,7.661,5.138,5.144,7.365,0.1914,1,500.4,1,2,23.47,0.3143,11
HALOPERIDOL,1.57,1.607,3.462,3.18,4.693,6.648,1.317,0,375.9,1,3,40.54,0.2143,6
HALOPERIDOL DECA0ATE,0.1373,0.8744,7.249,3.849,4.935,7.752,0.8934,1,530.1,0,4,46.61,0.4103,16
HALOPERIDOL LACTATE,1.496,1.732,3.868,2.287,4.979,6.638,0.6994,1,447.9,1,5,66.84,0.2727,9
HALOPROGIN,0.7129,0.7129,4.601,4.601,4.43,4.847,0.4845,0,361.4,0,1,9.23,0.2143,3
HALOTHANE,4.487,4.487,2.651,2.651,4.366,4.508,0.35,0,197.4,0,0,0,0.1667,1
HEMIN,0.5133,3.083,5.679,1.7,6.053,4.346,-1.732,1,562.7,4,8,132,0.1739,8
HETACILLIN,2.914,3.051,0.9501,-1.455,4.899,2.711,-1.583,1,389.5,2,7,89.95,0.1,3
HEXACHLOROPHENE,1.943,1.943,5.77,5.77,5.814,4.893,-0.4801,0,406.9,2,2,40.46,0.09091,2
HEXAFLUORENIUM,1.914,0.8661,7.386,3.737,5.659,7.601,0.1578,1,502.7,0,2,0,0.2093,9
HEXOCYCLIUM,3.307,2.838,2.963,0.5365,4.346,6.153,0.7164,0,317.5,1,3,23.47,0.16,4
HEXYLCAINE,2.649,1.566,3.903,1.128,4.56,5.103,0.9537,0,261.4,1,3,38.33,0.3,6
HISTAMINE,5.877,3.349,-0.7001,-2.124,3.754,3.49,-0.7759,0,111.1,2,3,54.7,0.25,2
HISTRELIN,2.373,3.809,0.7413,3.866,5.098,1.232,-1.377,1,1324,16,30,446.9,0.4272,44
HOMATROPINE,5.832,2.901,2.241,-0.4995,4.293,5.305,0.462,0,290.4,1,4,46.53,0.1739,4
HUMAN GLUCAGON,7.028,8.219,-1.981,9.824,5.242,2.336,-0.518,1,3483,55,92,1539,0.5675,143
HUMAN GONADOLIBERIN-I,3.078,4.129,-0.9057,3.289,4.849,0.5488,-1.3,1,1182,17,30,472.1,0.4556,41
HUMAN OXYTOCIN-NEUROPHYSIN-1,3.305,3.767,-0.5341,2.366,4.699,0.8152,-0.9729,1,1007,12,24,399.5,0.2817,20
HUMAN SECRETIN,6.484,8.151,-1.425,9.141,4.686,2.332,-0.5732,1,3069,52,85,1421,0.6267,136
HYDRALAZINE,5.133,3.062,1.488,-0.117,4.142,3.89,-0.3104,0,160.2,1,4,63.1,0,0
HYDROCHLOROTHIAZIDE,3.38,4.325,-0.06996,0.3626,3.942,4.219,-0.8089,0,297.7,3,7,118.4,0.05556,1
HYDROCODONE,3.339,1.54,1.678,1.137,4.595,5.404,0.294,0,299.4,0,4,38.77,0.03846,1
HYDROCORTAMATE,2.715,2.42,3.097,1.46,4.814,5.113,-1.051,1,475.6,2,7,104.1,0.2162,8
HYDROCORTISONE,2.716,2.716,1.61,1.61,4.552,4.553,-1.102,1,362.5,3,5,94.83,0.06897,2
HYDROCORTISONE ACETATE,1.73,1.73,2.19,2.19,4.606,4.52,-1.023,0,404.5,2,6,100.9,0.125,4
HYDROCORTISONE BUTYRATE,1.593,1.593,3.18,3.18,4.743,4.749,-0.9433,0,432.6,2,6,100.9,0.1765,6
HYDROCORTISONE CYPIONATE,1.021,1.021,4.25,4.25,4.935,5.158,-0.8347,1,486.6,2,6,100.9,0.1795,7
HYDROCORTISONE PHOSPHATE,2.719,3.659,1.434,-0.687,4.625,4.39,-1.384,1,442.4,4,8,141.4,0.1212,4
HYDROCORTISONE PROBUTATE,0.901,0.901,3.633,3.633,4.92,4.75,-0.8197,1,488.6,1,7,107,0.2368,9
HYDROCORTISONE SUCCINATE,1.775,3.498,2.11,-0.2873,4.63,3.701,-1.795,0,462.5,3,8,138.2,0.1944,7
HYDROCORTISONE VALERATE,1.435,1.435,3.79,3.79,4.806,4.9,-0.888,0,446.6,2,6,100.9,0.2,7
HYDROFLUMETHIAZIDE,2.96,4.158,0.3601,0.31,3.997,4.373,-0.793,0,331.3,3,7,118.4,0.09524,2
HYDROMORPHONE,3.343,1.361,1.618,0.6151,4.595,5.351,-0.1403,0,285.3,1,4,49.77,0,0
HYDROQUI0NE,5.82,5.82,0.6331,0.6331,4.096,4.315,-0.2895,0,110.1,2,2,40.46,0,0
HYDROXOCOBALAMIN,2.136,3.907,1.033,2.828,5.097,1.24,-1.352,1,1347,11,28,471.5,0.2828,28
HYDROXYAMPHETAMINE,5.149,3.092,1.121,-1.049,4.081,4.267,-0.5216,0,151.2,2,2,46.25,0.1818,2
HYDROXYCHLOROQUINE,3.05,1.409,3.657,1.098,4.322,6.131,-0.2889,1,335.9,2,4,48.39,0.375,9
HYDROXYPROGESTERONE CAPROATE,0.5488,0.5488,4.976,4.976,4.959,5.309,-0.2602,0,428.6,0,4,60.44,0.2059,7
HYDROXYSTILBAMIDINE,2.681,3.097,1.677,-0.5652,4.916,3.859,-0.9874,0,280.3,5,5,120,0.1818,4
HYDROXYUREA,7.12,3.304,-1.169,-1.27,3.607,3.106,-0.5625,0,76.05,3,4,75.35,0.25,1
HYDROXYZINE,3.314,1.822,3.248,3.1,4.759,6.662,0.6688,1,374.9,1,4,35.94,0.2857,8
IBANDRONATE,5.273,4.561,1.074,-2.706,4.219,3.633,-1.288,1,319.2,5,8,138.5,0.5,9
IBUPROFEN,2.01,2.915,3.5,1.44,4.567,4.044,-0.18,0,206.3,1,2,37.3,0.2667,4
IBUTILIDE,3.24,1.895,3.743,1.313,4.091,6.79,-0.4,1,384.6,2,5,69.64,0.5385,14
IDARUBICIN,0.7072,3.393,1.617,0.2785,5.58,3.502,-0.7985,1,497.5,5,10,176.6,0.075,3
IDOXURIDINE,4.453,4.453,-0.9597,-0.9597,4.13,3.904,-1.322,0,354.1,3,7,104.5,0.1111,2
IFOSFAMIDE,5.19,5.19,0.63,0.63,3.94,4.581,-0.4021,0,261.1,1,4,41.57,0.3571,5
ILOPROST,2.591,3.631,2.861,0.05453,4.547,4.536,-0.6306,1,360.5,3,4,77.76,0.3333,9
IMATINIB,1.924,2.557,3.571,3.305,6.063,6.845,-0.3001,1,493.6,2,8,86.28,0.1951,8
IMIPENEM,4.234,4.135,-0.3966,-2.908,4.197,2.48,-2.034,1,299.3,4,7,113.7,0.3333,7
IMIPRAMINE,1.81,1.22,4.44,2.31,4.557,6.066,0.4725,0,280.4,0,2,6.48,0.1739,4
IMIQUIMOD,2.186,1.592,2.732,1.764,5.111,5.362,-0.3379,1,240.3,1,4,56.73,0.1,2
INAMRI0NE,3.777,2.266,0.09178,0.4304,3.95,3.67,-1.001,0,187.2,2,4,71.77,0.06667,1
INDAPAMIDE,1.769,2.677,2.058,1.486,5.049,4.676,-0.7851,0,365.8,2,6,92.5,0.1538,4
INDECAINIDE,2.617,0.8311,3.372,1.177,5.03,4.342,-0.2723,1,308.4,2,3,55.12,0.24,6
INDINAVIR,2.501,2.034,3.357,2.244,5.239,5.672,-1.16,1,613.8,4,9,118,0.2857,14
INDOCYANINE GREEN,2.024,0.8546,6.68,2.548,5.561,7.49,-0.8886,1,754,2,8,115,0.2414,14
INDOMETHACIN,0.4202,3.218,4.27,0.9392,5.162,4.54,-1.26,0,357.8,1,5,68.53,0.1852,5
IOCETAMIC ACID,2.4,3.721,2.082,-0.3909,4.717,3.741,-1.128,0,614,2,5,83.63,0.25,5
IODAMIDE,3.296,4.01,1.469,-0.2799,4.954,2.87,-0.888,0,627.9,3,6,95.5,0.2857,6
IODIPAMIDE,2.61,4.445,2.007,0.8997,5.754,3.241,-1.246,1,1140,4,8,132.8,0.3143,11
IODIXA0L,3.674,3.674,-2.773,-2.773,5.696,2.617,-1.396,1,1550,13,21,339.1,0.4444,28
"IODOHIPPURATE, I-123",3.661,3.673,0.9703,-1.215,3.993,2.916,-0.5984,0,305.1,2,4,66.4,0.2857,4
IODOXAMATE,1.016,3.977,1.452,1.208,5.554,4.026,-1.396,1,1290,5,12,172.9,0.4667,21
IOFETAMINE I-123,2.75,1.85,4.133,1.694,4.453,5.114,1.209,0,303.2,1,1,12.03,0.2857,4
IOHEXOL,4.604,4.604,-3.05,-3.05,5.196,3.201,-1.296,1,821.1,8,12,199.9,0.4412,15
IOPAMIDOL,5.26,5.26,-2.42,-2.42,5.127,2.862,-1.118,1,777.1,8,11,188.4,0.4194,13
IOPA0IC ACID,1.414,3.273,3.404,0.6789,4.734,3.827,-0.8817,0,570.9,2,3,63.32,0.2353,4
IOPHENDYLATE,0.2627,0.2627,6.917,6.917,4.449,6.029,0.8315,0,416.3,0,2,26.3,0.5455,12
IOPROMIDE,4.684,4.684,-2.05,-2.05,5.21,3.535,-1.114,1,791.1,6,11,168.7,0.4375,14
IOTHALAMATE,3.41,4.394,1.391,-0.454,4.938,2.934,-0.69,0,613.9,3,6,95.5,0.25,5
IOTROLAN,3.884,5.495,-3.53,0.9123,5.685,2.499,-1.418,1,1626,16,24,399.8,0.4412,30
IOVERSOL,4.976,4.976,-2.981,-2.981,5.199,3.242,-1.287,1,807.1,8,12,199.9,0.4545,15
IOXAGLATE,2.921,4.407,-0.1144,1.216,5.915,2.39,-1.172,1,1269,6,13,194.2,0.3409,15
IOXILAN,4.772,4.772,-2.47,-2.47,5.207,3.323,-1.199,1,791.1,7,11,179.7,0.4375,14
IPODATE,1.8,3.67,3.111,-0.2738,4.78,4.04,-1.256,0,598,1,4,52.9,0.2632,5
IPRATROPIUM,4.638,2.412,3.628,0.1613,4.524,5.519,0.6301,0,332.5,1,4,46.53,0.2308,6
IRBESARTAN,1.486,2.711,3.949,0.2307,5.203,4.899,-0.8877,1,428.5,1,7,87.13,0.1944,7
IRI0TECAN,1.225,1.594,3.638,2.431,5.26,6.243,-1.24,1,586.7,1,10,114.2,0.1224,6
ISOCARBOXAZID,3.857,3.296,1.49,0.5682,3.823,3.957,0.03124,0,231.3,2,5,67.16,0.2778,5
ISOETHARINE,4.259,2.978,1.272,-0.8952,4.067,4.501,-0.5211,0,239.3,4,4,72.72,0.2941,5
ISOFLURANE,4.279,4.279,2.378,2.378,4.536,4.638,0.4199,0,184.5,0,1,9.23,0.3333,3
ISOFLUROPHATE,5.034,5.034,0.3414,0.3414,4.139,4.215,0.2159,0,184.1,0,3,35.53,0.4,4
ISONIAZID,6.01,6.01,-0.5659,-0.5659,3.394,3.13,0.03828,0,137.1,2,4,68.01,0.2,2
ISOPROPAMIDE,2.77,1.09,4.375,0.809,4.979,5.285,0.207,1,353.5,1,3,43.09,0.2963,8
ISOPROTERE0L,4.769,2.934,0.5215,-1.388,3.978,4.271,-0.6164,0,211.3,4,4,72.72,0.2667,4
ISOSORBIDE,6.75,6.75,-1.713,-1.713,3.871,3.538,-0.737,0,146.1,2,4,58.92,0,0
ISOSORBIDE DINITRATE,3.395,3.12,1.207,-0.5145,4.121,3.704,-0.8147,0,236.1,0,10,125.9,0.2353,4
ISOSORBIDE MO0NITRATE,4.579,3.2,0.657,-1.184,4.073,3.775,-0.7692,0,191.1,1,7,91.06,0.1429,2
ISOSULFAN BLUE,4.539,4.131,2.79,0.4035,5.74,5.779,-0.9078,1,545.7,2,8,115,0.2308,9
ISOTRETI0IN,2.345,2.494,3.824,0.6707,4.761,4.746,-0.4184,0,272.4,1,2,37.3,0.25,5
ISRADIPINE,1.669,1.669,3.748,3.748,5.232,4.771,-0.4244,1,371.4,1,8,103.6,0.2069,6
ITRACONAZOLE,0.1119,1.668,4.795,4.494,6.205,6.969,-0.8493,1,705.6,0,12,104.7,0.2,11
IVERMECTIN,0.4683,0.4683,3.328,3.328,4.998,4.846,-0.4929,1,875.1,3,14,170.1,0.1176,8
KANAMYCIN,5.464,5.798,-2.872,-1.982,4.8,1.791,-1.292,1,484.5,11,15,282.6,0.1714,6
KETAMINE,5.93,1.866,2.18,0.6739,4.784,4.615,0.06948,0,237.7,1,2,29.1,0.1176,2
KETOCONAZOLE,1.67,0.5488,4.34,3.032,5.735,5.968,-0.4607,1,531.4,0,8,69.06,0.2,8
KETOPROFEN,2.3,2.782,3.12,0.02002,4.834,3.788,-0.7588,0,254.3,1,3,54.37,0.2,4
KETOROLAC,2.625,3.143,2.341,-0.27,4.503,3.812,-1.081,0,255.3,1,4,59.3,0.1429,3
KETOTIFEN,2.095,1.586,2.854,1.865,4.9,5.736,0.1688,0,309.4,0,2,20.31,0,0
LABETALOL,2.939,1.8,3.09,1.08,5.01,4.25,-0.3523,1,328.4,4,5,95.58,0.32,8
LACTULOSE,6.397,6.397,-3.512,-3.512,4.415,3.205,-1.692,0,344.3,9,11,200.5,0.3478,8
LAMIVUDINE,3.989,2.534,-1.036,-0.508,4.058,3.909,-1.172,0,229.3,2,6,90.37,0.125,2
LAMOTRIGINE,1.995,1.715,2.078,2.176,4.399,3.944,0.44,0,256.1,2,5,90.71,0.05882,1
LANSOPRAZOLE,0.826,0.826,3.857,3.857,5.536,5.498,-0.0512,0,369.4,0,4,52.33,0.2222,6
LATA0PROST,2.119,2.119,4.373,4.373,4.61,5.722,-0.225,1,432.6,3,5,86.99,0.4375,14
LEFLU0MIDE,2.379,2.379,2.77,2.77,4.428,4.689,0.4201,0,270.2,1,4,55.13,0.2,4
LETROZOLE,1.832,1.832,2.913,2.913,5.005,5.476,-0.2198,0,285.3,0,5,78.29,0.2083,5
LEUCOVORIN,1.958,3.904,-0.5856,-2.035,5.215,1.806,-1.665,1,473.4,7,14,219.8,0.3056,11
LEUPROLIDE,2.705,3.846,0.2978,3.674,4.89,0.9279,-1.33,1,1209,16,28,429,0.4565,42
LEVALBUTEROL,3.88,2.599,0.5106,-1.11,4.358,4.326,-1.27,0,239.3,4,4,72.72,0.2941,5
LEVALLORPHAN,1.66,1.66,4.183,4.183,4.722,5.79,0.0329,1,283.4,1,2,23.47,0.04167,1
LEVAMISOLE,3.436,1.44,1.84,0.2681,4.283,4.446,-0.06899,0,204.3,0,2,15.6,0.0625,1
LEVETIRACETAM,5.418,5.418,-0.4946,-0.4946,3.775,3.341,-0.3594,0,170.2,1,4,63.4,0.25,3
LEVOBETAXOLOL,3.355,1.774,2.81,1.002,4.465,5.288,0.39,0,307.4,2,4,50.72,0.4783,11
